sell 0.20 | sp 0.0000 | buy 0.13 | bp 0.0000
sell -0.23 | sp 0.0000 | buy -0.33 | bp 0.0000 

sell -0.03 | sp 0.0000 | buy -0.10 | bp 0.0000
sell 0.00 | sp 0.0000 | buy 0.03 | bp 0.0000 

sell -0.07 | sp 0.0000 | buy -0.13 | bp 0.0000
sell 0.03 | sp 0.0000 | buy 0.00 | bp 0.0000 

sell 0.03 | sp 0.0000 | buy 0.00 | bp 0.0000
sell -0.03 | sp 0.0000 | buy 0.17 | bp 0.0000 

sell -0.03 | sp 0.0000 | buy 0.17 | bp 0.0000
sell 0.15 | sp 0.0000 | buy 0.03 | bp 0.0000 

sell 0.15 | sp 0.0000 | buy 0.03 | bp 0.0000
sell -0.23 | sp 0.0000 | buy -0.20 | bp 0.0000 

sell -0.23 | sp 0.0000 | buy -0.20 | bp 0.0000
sell -0.03 | sp 0.0000 | buy -0.03 | bp 0.0000 

sell -0.03 | sp 0.0000 | buy -0.03 | bp 0.0000
sell 0.07 | sp 0.0000 | buy 0.10 | bp 0.0000 

sell 0.43 | sp 0.0000 | buy 0.50 | bp 0.0000
sell -0.50 | sp 0.0000 | buy -0.40 | bp 0.0667 

sell -0.50 | sp 0.0000 | buy -0.40 | bp 0.0667
sell 0.07 | sp 0.7000 | buy -0.07 | bp 2.1000 

sell 0.00 | sp 0.0333 | buy 0.10 | bp 0.0667
sell 0.07 | sp 0.0333 | buy 0.00 | bp 0.0000 

sell -0.43 | sp 0.0667 | buy -1.37 | bp 0.1333
sell -0.10 | sp 0.0000 | buy 0.43 | bp 0.0000 

sell -0.10 | sp 0.0000 | buy 0.43 | bp 0.0000
sell 0.23 | sp 0.5000 | buy -0.27 | bp 0.0000 

sell -0.20 | sp 0.0667 | buy -2.00 | bp 0.1000
sell 0.07 | sp 0.1000 | buy 0.73 | bp -0.0667 

sell 0.00 | sp 0.0000 | buy -0.13 | bp 0.0000
sell -0.17 | sp 0.0000 | buy -0.33 | bp 0.0000 

sell 0.10 | sp 0.0000 | buy 0.27 | bp 0.4333
sell 0.23 | sp 0.0000 | buy -0.03 | bp -0.5333 

sell 0.23 | sp 0.0000 | buy -0.03 | bp -0.5333
sell -0.37 | sp 0.0000 | buy -0.43 | bp 0.0000 

sell -0.37 | sp 0.0000 | buy -0.43 | bp 0.0000
sell 0.00 | sp 0.7333 | buy 0.07 | bp 0.7333 

sell 0.37 | sp 0.0000 | buy -4.33 | bp 0.0000
sell -0.37 | sp 0.0000 | buy -0.57 | bp 0.0000 

sell -0.37 | sp 0.0000 | buy -0.57 | bp 0.0000
sell 0.13 | sp 0.0000 | buy 0.13 | bp 0.0000 

sell 0.13 | sp 0.0000 | buy 0.13 | bp 0.0000
sell 0.07 | sp -0.6000 | buy 2.23 | bp -0.1000 

sell 0.07 | sp -0.6000 | buy 2.23 | bp -0.1000
sell -0.07 | sp -0.1333 | buy -2.13 | bp -0.6333 

sell -0.07 | sp -0.1333 | buy -2.13 | bp -0.6333
sell -0.03 | sp 0.1000 | buy -0.03 | bp 0.1333 

sell -0.03 | sp 0.1000 | buy -0.03 | bp 0.1333
sell 0.00 | sp 0.6333 | buy -0.17 | bp 0.6000 

sell -0.10 | sp 0.0000 | buy 0.10 | bp 0.0000
sell -0.17 | sp 0.0000 | buy -0.10 | bp 0.0000 

